PPI,viral_prot,host_prot,ensemble,class
M~O75439,M,O75439,0.777284282,Positive
M~O75787,M,O75787,0.753264728,Positive
M~O94874,M,O94874,0.74912459,Positive
M~O95070,M,O95070,0.779254293,Positive
M~P03923,M,P03923,0.654768767,Positive
M~P05026,M,P05026,0.727112262,Positive
M~P13637,M,P13637,0.782311968,Positive
M~P48556,M,P48556,0.735853407,Positive
M~P48735,M,P48735,0.762962794,Positive
M~P61160,M,P61160,0.757886866,Positive
M~Q00765,M,Q00765,0.756799529,Positive
M~Q10713,M,Q10713,0.770745591,Positive
M~Q13433,M,Q13433,0.777138901,Positive
M~Q5HYK3,M,Q5HYK3,0.780903685,Positive
M~Q6PML9,M,Q6PML9,0.767256567,Positive
M~Q86TW2,M,Q86TW2,0.782783926,Positive
M~Q8WUM0,M,Q8WUM0,0.779314043,Positive
M~Q92990,M,Q92990,0.745202654,Positive
M~Q96HR9,M,Q96HR9,0.771638221,Positive
M~Q96HW7,M,Q96HW7,0.789747455,Positive
M~Q96KC2,M,Q96KC2,0.776356555,Positive
M~Q96NT5,M,Q96NT5,0.772406871,Positive
M~Q9BQT8,M,Q9BQT8,0.755928151,Positive
M~Q9BSJ2,M,Q9BSJ2,0.786044374,Positive
M~Q9BX73,M,Q9BX73,0.776670498,Positive
M~Q9C0E2,M,Q9C0E2,0.785971743,Positive
M~Q9NQC3,M,Q9NQC3,0.689799314,Positive
M~Q9NTX5,M,Q9NTX5,0.762685198,Positive
M~Q9NVH2,M,Q9NVH2,0.765322774,Positive
M~Q9NX07,M,Q9NX07,0.780925412,Positive
M~Q9UBU6,M,Q9UBU6,0.755965527,Positive
M~Q9UGJ1,M,Q9UGJ1,0.793285575,Positive
M~Q9Y312,M,Q9Y312,0.775749176,Positive
N~O43818,N,O43818,0.643445647,Positive
N~P19784,N,P19784,0.623073845,Positive
N~P67870,N,P67870,0.55137299,Positive
N~P68400,N,P68400,0.585525878,Positive
N~Q13283,N,Q13283,0.695882112,Positive
N~Q6WKZ4,N,Q6WKZ4,0.514131387,Positive
N~Q8IX01,N,Q8IX01,0.569924371,Positive
N~Q8NCA5,N,Q8NCA5,0.706948271,Positive
N~Q8TAD8,N,Q8TAD8,0.695685912,Positive
N~Q92879,N,Q92879,0.52070089,Positive
N~Q9NUD5,N,Q9NUD5,0.698195964,Positive
N~Q9UN86,N,Q9UN86,0.697902848,Positive
NSP1~P09884,NSP1,P09884,0.283101811,Positive
NSP1~P49642,NSP1,P49642,0.33295095,Positive
NSP1~P49643,NSP1,P49643,0.336467674,Positive
NSP1~Q14181,NSP1,Q14181,0.279758195,Positive
NSP1~Q96CM3,NSP1,Q96CM3,0.207510462,Positive
NSP1~Q99959,NSP1,Q99959,0.205274492,Positive
NSP10~Q6Q0C0,NSP10,Q6Q0C0,0.304219321,Positive
NSP10~Q969X5,NSP10,Q969X5,0.321734783,Positive
NSP10~Q9HAV7,NSP10,Q9HAV7,0.367307538,Positive
NSP12~A3KN83,NSP12,A3KN83,0.482781064,Positive
NSP12~O14874,NSP12,O14874,0.458482377,Positive
NSP12~O15014,NSP12,O15014,0.598048319,Positive
