PPI,Pathogen_protein,Host_protein,class
NSP3~P35241,NSP3,P35241,Positive
M~P48509,M,P48509,Positive
M~Q14571,M,Q14571,Positive
NSP10~Q9UJV3,NSP10,Q9UJV3,Positive
NSP6~Q9UKV5,NSP6,Q9UKV5,Positive
NSP3~Q9Y530,NSP3,Q9Y530,Positive
ORF3B~P62937,ORF3B,P62937,Positive
NSP2~Q5H9R7,NSP2,Q5H9R7,Positive
ORF9B~Q96AZ6,ORF9B,Q96AZ6,Positive
E~O43402,E,O43402,Positive
ORF7B~O43505,ORF7B,O43505,Positive
ORF7B~Q15375,ORF7B,Q15375,Positive
ORF3A~P30622,ORF3A,P30622,Positive
ORF14~O96005,ORF14,O96005,Positive
NSP4~P51788,NSP4,P51788,Positive
ORF8~P04083,ORF8,P04083,Positive
ORF3B~O75976,ORF3B,O75976,Positive
ORF7A~P53794,ORF7A,P53794,Positive
NSP4~Q9Y2G8,NSP4,Q9Y2G8,Positive
ORF7B~Q9HA82,ORF7B,Q9HA82,Positive
NSP4~P48594,NSP4,P48594,Positive
NSP7~Q7Z4H7,NSP7,Q7Z4H7,Positive
M~P04439,M,P04439,Positive
NSP4~P53367,NSP4,P53367,Positive
S~Q15043,S,Q15043,Positive
S~Q969Q0,S,Q969Q0,Positive
ORF8~P07686,ORF8,P07686,Positive
M~Q9Y2G0,M,Q9Y2G0,Positive
ORF7A~P63000,ORF7A,P63000,Positive
S~Q8N511,S,Q8N511,Positive
NSP8~Q5H9U9,NSP8,Q5H9U9,Positive
NSP5~Q9P258,NSP5,Q9P258,Positive
NSP10~Q8IYD1,NSP10,Q8IYD1,Positive
ORF14~P18084,ORF14,P18084,Positive
E~Q96HV5,E,Q96HV5,Positive
M~P35916,M,P35916,Positive
NSP12~Q9H6T3,NSP12,Q9H6T3,Positive
NSP4~Q9HD45,NSP4,Q9HD45,Positive
NSP4~Q8TAA9,NSP4,Q8TAA9,Positive
ORF14~Q8N8A6,ORF14,Q8N8A6,Positive
ORF8~Q16763,ORF8,Q16763,Positive
ORF3A~O60858,ORF3A,O60858,Positive
NSP12~O43504,NSP12,O43504,Positive
S~P36551,S,P36551,Positive
ORF7B~O15270,ORF7B,O15270,Positive
ORF7A~P55072,ORF7A,P55072,Positive
M~O75911,M,O75911,Positive
NSP4~Q8TEM1,NSP4,Q8TEM1,Positive
NSP6~Q9H3K2,NSP6,Q9H3K2,Positive
ORF7A~Q9UGH3,ORF7A,Q9UGH3,Positive
NSP6~Q8WUY1,NSP6,Q8WUY1,Positive
ORF8~Q9BY50,ORF8,Q9BY50,Positive
ORF7B~Q8WVQ1,ORF7B,Q8WVQ1,Positive
E~Q8TD43,E,Q8TD43,Positive
N~Q14244,N,Q14244,Positive
NSP4~Q9P0T4,NSP4,Q9P0T4,Positive
ORF3A~Q92597,ORF3A,Q92597,Positive
M~Q9BX67,M,Q9BX67,Positive
M~P50395,M,P50395,Positive
ORF8~Q86TI0,ORF8,Q86TI0,Positive
ORF6~Q9NZM1,ORF6,Q9NZM1,Positive
ORF7B~Q9BSR8,ORF7B,Q9BSR8,Positive
NSP5~Q8TCT9,NSP5,Q8TCT9,Positive
E~Q8TAT6,E,Q8TAT6,Positive
ORF14~Q8TEQ8,ORF14,Q8TEQ8,Positive
NSP4~Q9HC62,NSP4,Q9HC62,Positive
NSP13~P61006,NSP13,P61006,Positive
ORF7A~Q8N573,ORF7A,Q8N573,Positive
NSP7~A6NHR9,NSP7,A6NHR9,Positive
ORF9B~P12694,ORF9B,P12694,Positive
E~Q9HD20,E,Q9HD20,Positive
ORF7A~P15260,ORF7A,P15260,Positive
M~Q9BW27,M,Q9BW27,Positive
E~Q9NRC1,E,Q9NRC1,Positive
NSP7~Q9UJX4,NSP7,Q9UJX4,Positive
M~Q9NUY8,M,Q9NUY8,Positive
NSP4~Q99536,NSP4,Q99536,Positive
ORF7A~P62424,ORF7A,P62424,Positive
NSP5~P23141,NSP5,P23141,Positive
ORF9B~A8MXV4,ORF9B,A8MXV4,Positive
NSP16~Q6AI08,NSP16,Q6AI08,Positive
NSP6~Q96NT0,NSP6,Q96NT0,Positive
ORF7A~Q8TBM8,ORF7A,Q8TBM8,Positive
ORF7B~Q27J81,ORF7B,Q27J81,Positive
ORF3A~Q9NR56,ORF3A,Q9NR56,Positive
ORF9B~Q8N183,ORF9B,Q8N183,Positive
ORF14~Q5JPH6,ORF14,Q5JPH6,Positive
M~Q99707,M,Q99707,Positive
ORF3A~Q9BQL6,ORF3A,Q9BQL6,Positive
ORF6~Q9H496,ORF6,Q9H496,Positive
E~Q96AG4,E,Q96AG4,Positive
S~Q6IAA8,S,Q6IAA8,Positive
M~Q13637,M,Q13637,Positive
M~Q9UBX3,M,Q9UBX3,Positive
NSP7~Q15154,NSP7,Q15154,Positive
ORF14~Q8N9T8,ORF14,Q8N9T8,Positive
NSP12~O43303,NSP12,O43303,Positive
E~Q12907,E,Q12907,Positive
ORF9B~P48735,ORF9B,P48735,Positive
ORF7A~Q13795,ORF7A,Q13795,Positive
NSP7~Q99707,NSP7,Q99707,Positive
ORF3A~P61020,ORF3A,P61020,Positive
ORF3A~O60306,ORF3A,O60306,Positive
ORF7B~P61421,ORF7B,P61421,Positive
NSP6~Q9UJ14,NSP6,Q9UJ14,Positive
E~Q15842,E,Q15842,Positive
ORF7B~O76024,ORF7B,O76024,Positive
NSP4~Q8N2G8,NSP4,Q8N2G8,Positive
ORF8~P58166,ORF8,P58166,Positive
E~Q8NHH9,E,Q8NHH9,Positive
ORF14~Q8TCJ2,ORF14,Q8TCJ2,Positive
NSP3~Q9H089,NSP3,Q9H089,Positive
NSP6~P61353,NSP6,P61353,Positive
ORF8~Q14571,ORF8,Q14571,Positive
NSP16~Q9NYU2,NSP16,Q9NYU2,Positive
ORF7B~P29218,ORF7B,P29218,Positive
ORF3A~Q96G23,ORF3A,Q96G23,Positive
NSP16~Q96QF0,NSP16,Q96QF0,Positive
ORF7A~Q6P158,ORF7A,Q6P158,Positive
NSP12~Q8IZH2,NSP12,Q8IZH2,Positive
ORF7B~Q9HBM0,ORF7B,Q9HBM0,Positive
NSP14~P46108,NSP14,P46108,Positive
ORF7B~Q8N1S5,ORF7B,Q8N1S5,Positive
NSP7~Q9BRZ2,NSP7,Q9BRZ2,Positive
