PPI,viral_prot,host_prot,class
S~P04118,S,P04118,Positive
S~P06727,S,P06727,Positive
S~P07306,S,P07306,Positive
S~Q9BYF1,S,Q9BYF1,Positive
S~Q10469,S,Q10469,Positive
S~P07858,S,P07858,Positive
NSP3~P35241,NSP3,P35241,Positive
NSP3~P15311,NSP3,P15311,Positive
NSP3~Q93009,NSP3,Q93009,Positive
N~P78362,N,P78362,Positive
ORF7B~O14966,ORF7B,O14966,Positive
M~P48509,M,P48509,Positive
M~Q14571,M,Q14571,Positive
NSP2~O95817,NSP2,O95817,Positive
NSP14~Q96S97,NSP14,Q96S97,Positive
ORF14~P16435,ORF14,P16435,Positive
ORF14~Q7Z333,ORF14,Q7Z333,Positive
ORF7B~P63167,ORF7B,P63167,Positive
NSP13~P23141,NSP13,P23141,Positive
ORF9B~P30084,ORF9B,P30084,Positive
NSP4~Q9H4M9,NSP4,Q9H4M9,Positive
NSP10~Q9UJV3,NSP10,Q9UJV3,Positive
ORF3A~Q13480,ORF3A,Q13480,Positive
E~P17655,E,P17655,Positive
ORF3A~Q9BTX1,ORF3A,Q9BTX1,Positive
NSP6~Q9UKV5,NSP6,Q9UKV5,Positive
NSP3~Q9Y530,NSP3,Q9Y530,Positive
M~Q99436,M,Q99436,Positive
S~P62979,S,P62979,Positive
ORF7B~P30084,ORF7B,P30084,Positive
ORF3B~P62937,ORF3B,P62937,Positive
NSP3~P35544,NSP3,P35544,Positive
NSP3~P62861,NSP3,P62861,Positive
NSP7~Q63ZY3,NSP7,Q63ZY3,Positive
NSP13~O15143,NSP13,O15143,Positive
NSP6~P05556,NSP6,P05556,Positive
E~O94979,E,O94979,Positive
NSP16~O75817,NSP16,O75817,Positive
NSP2~Q5H9R7,NSP2,Q5H9R7,Positive
NSP6~O75054,NSP6,O75054,Positive
ORF9B~Q96AZ6,ORF9B,Q96AZ6,Positive
NSP4~Q07021,NSP4,Q07021,Positive
E~O43402,E,O43402,Positive
NSP4~P78357,NSP4,P78357,Positive
ORF3B~O00559,ORF3B,O00559,Positive
NSP5~O75844,NSP5,O75844,Positive
ORF7B~O43505,ORF7B,O43505,Positive
NSP7~Q9NZJ4,NSP7,Q9NZJ4,Positive
ORF3B~P30044,ORF3B,P30044,Positive
ORF7B~Q15375,ORF7B,Q15375,Positive
ORF3A~P30622,ORF3A,P30622,Positive
ORF14~O96005,ORF14,O96005,Positive
M~C9JH25,M,C9JH25,Positive
NSP6~P02545,NSP6,P02545,Positive
NSP4~P51788,NSP4,P51788,Positive
ORF8~Q8NE01,ORF8,Q8NE01,Positive
ORF7A~P22059,ORF7A,P22059,Positive
NSP7~Q86VV8,NSP7,Q86VV8,Positive
ORF3B~Q9UEY8,ORF3B,Q9UEY8,Positive
ORF14~P26373,ORF14,P26373,Positive
NSP14~Q92546,NSP14,Q92546,Positive
ORF8~P04083,ORF8,P04083,Positive
M~Q5SRE5,M,Q5SRE5,Positive
ORF14~O95059,ORF14,O95059,Positive
ORF3A~P05198,ORF3A,P05198,Positive
NSP5~Q7KZN9,NSP5,Q7KZN9,Positive
NSP4~P62917,NSP4,P62917,Positive
ORF7A~Q969Q0,ORF7A,Q969Q0,Positive
ORF3B~O75976,ORF3B,O75976,Positive
ORF7A~P53794,ORF7A,P53794,Positive
ORF7B~O15400,ORF7B,O15400,Positive
NSP4~Q9Y2G8,NSP4,Q9Y2G8,Positive
ORF9B~Q9Y606,ORF9B,Q9Y606,Positive
ORF7B~Q9HA82,ORF7B,Q9HA82,Positive
ORF6~O15027,ORF6,O15027,Positive
NSP5~Q8NE86,NSP5,Q8NE86,Positive
ORF3A~O75083,ORF3A,O75083,Positive
NSP6~Q8NBF2,NSP6,Q8NBF2,Positive
E~O94851,E,O94851,Positive
NSP13~Q9ULH0,NSP13,Q9ULH0,Positive
NSP4~P48594,NSP4,P48594,Positive
NSP7~Q7Z4H7,NSP7,Q7Z4H7,Positive
M~P04439,M,P04439,Positive
ORF3B~Q86X10,ORF3B,Q86X10,Positive
E~O15554,E,O15554,Positive
E~P49748,E,P49748,Positive
ORF3A~P36896,ORF3A,P36896,Positive
NSP4~P53367,NSP4,P53367,Positive
NSP6~P47712,NSP6,P47712,Positive
ORF14~Q14781,ORF14,Q14781,Positive
S~Q15043,S,Q15043,Positive
ORF7B~Q9HCU4,ORF7B,Q9HCU4,Positive
NSP16~Q8WUF5,NSP16,Q8WUF5,Positive
NSP4~O75146,NSP4,O75146,Positive
ORF8~Q6PML9,ORF8,Q6PML9,Positive
ORF3A~Q9H2E6,ORF3A,Q9H2E6,Positive
ORF14~O00124,ORF14,O00124,Positive
S~Q969Q0,S,Q969Q0,Positive
NSP8~Q5T160,NSP8,Q5T160,Positive
NSP6~P41091,NSP6,P41091,Positive
NSP4~Q9H1C4,NSP4,Q9H1C4,Positive
ORF8~P07686,ORF8,P07686,Positive
E~O14744,E,O14744,Positive
M~Q9Y2G0,M,Q9Y2G0,Positive
ORF7A~P63000,ORF7A,P63000,Positive
S~Q8N511,S,Q8N511,Positive
ORF3A~P40616,ORF3A,P40616,Positive
NSP8~Q5H9U9,NSP8,Q5H9U9,Positive
M~Q9ULQ1,M,Q9ULQ1,Positive
S~P05556,S,P05556,Positive
N~O95208,N,O95208,Positive
M~P61513,M,P61513,Positive
NSP5~Q9P258,NSP5,Q9P258,Positive
E~P10620,E,P10620,Positive
ORF7B~P35610,ORF7B,P35610,Positive
NSP10~Q8IYD1,NSP10,Q8IYD1,Positive
ORF9B~P36957,ORF9B,P36957,Positive
ORF3A~P29323,ORF3A,P29323,Positive
ORF14~P18084,ORF14,P18084,Positive
NSP1~Q9H000,NSP1,Q9H000,Positive
E~Q96HV5,E,Q96HV5,Positive
NSP7~Q96M89,NSP7,Q96M89,Positive
NSP15~P11182,NSP15,P11182,Positive
ORF3A~O14763,ORF3A,O14763,Positive
NSP4~Q6NTF9,NSP4,Q6NTF9,Positive
N~P62424,N,P62424,Positive
M~P35916,M,P35916,Positive
NSP4~Q8TDD1,NSP4,Q8TDD1,Positive
ORF3A~O60493,ORF3A,O60493,Positive
NSP12~Q9H6T3,NSP12,Q9H6T3,Positive
ORF7B~Q8N5Y8,ORF7B,Q8N5Y8,Positive
NSP13~O95864,NSP13,O95864,Positive
NSP4~Q9HD45,NSP4,Q9HD45,Positive
ORF3A~Q10471,ORF3A,Q10471,Positive
N~O95625,N,O95625,Positive
ORF3B~O15400,ORF3B,O15400,Positive
NSP4~Q8TAA9,NSP4,Q8TAA9,Positive
ORF14~Q8N8A6,ORF14,Q8N8A6,Positive
E~Q4G0N4,E,Q4G0N4,Positive
ORF8~Q16763,ORF8,Q16763,Positive
NSP4~O60524,NSP4,O60524,Positive
ORF8~Q9Y4K0,ORF8,Q9Y4K0,Positive
NSP4~Q6ZMZ3,NSP4,Q6ZMZ3,Positive
ORF3A~O60858,ORF3A,O60858,Positive
NSP14~Q9NR09,NSP14,Q9NR09,Positive
M~Q9Y639,M,Q9Y639,Positive
NSP12~O43504,NSP12,O43504,Positive
E~P04439,E,P04439,Positive
ORF7B~Q9NXE4,ORF7B,Q9NXE4,Positive
S~P36551,S,P36551,Positive
ORF6~Q96HE9,ORF6,Q96HE9,Positive
ORF14~Q8TDW0,ORF14,Q8TDW0,Positive
NSP4~Q14137,NSP4,Q14137,Positive
ORF7B~O15270,ORF7B,O15270,Positive
M~Q8TAG9,M,Q8TAG9,Positive
ORF7B~A0PK00,ORF7B,A0PK00,Positive
ORF7A~P55072,ORF7A,P55072,Positive
ORF7B~P56537,ORF7B,P56537,Positive
NSP4~P46779,NSP4,P46779,Positive
NSP4~P22087,NSP4,P22087,Positive
M~O75911,M,O75911,Positive
NSP15~Q86YR5,NSP15,Q86YR5,Positive
M~Q9H0U4,M,Q9H0U4,Positive
ORF6~Q9Y2L5,ORF6,Q9Y2L5,Positive
ORF3A~Q86YQ8,ORF3A,Q86YQ8,Positive
NSP4~Q8TEM1,NSP4,Q8TEM1,Positive
NSP3~Q9HC44,NSP3,Q9HC44,Positive
ORF7A~O75063,ORF7A,O75063,Positive
NSP6~Q9H3K2,NSP6,Q9H3K2,Positive
ORF7A~Q9UGH3,ORF7A,Q9UGH3,Positive
NSP7~Q9BXC9,NSP7,Q9BXC9,Positive
NSP2~Q9UPW5,NSP2,Q9UPW5,Positive
ORF3A~Q14914,ORF3A,Q14914,Positive
M~P48556,M,P48556,Positive
ORF7A~P28074,ORF7A,P28074,Positive
ORF7A~Q9H3K2,ORF7A,Q9H3K2,Positive
ORF7A~Q9Y6M5,ORF7A,Q9Y6M5,Positive
NSP6~Q8WUY1,NSP6,Q8WUY1,Positive
ORF8~Q9BY50,ORF8,Q9BY50,Positive
ORF7B~P49257,ORF7B,P49257,Positive
NSP6~Q96AA3,NSP6,Q96AA3,Positive
ORF7B~Q8WVQ1,ORF7B,Q8WVQ1,Positive
NSP4~P11532,NSP4,P11532,Positive
NSP4~O94874,NSP4,O94874,Positive
ORF7A~Q96QU8,ORF7A,Q96QU8,Positive
NSP12~Q8WVJ2,NSP12,Q8WVJ2,Positive
ORF7B~Q86X29,ORF7B,Q86X29,Positive
ORF7A~Q8IV08,ORF7A,Q8IV08,Positive
NSP4~Q8NFA0,NSP4,Q8NFA0,Positive
E~Q8TD43,E,Q8TD43,Positive
N~Q14244,N,Q14244,Positive
N~Q15014,N,Q15014,Positive
ORF6~P07099,ORF6,P07099,Positive
ORF9B~P31327,ORF9B,P31327,Positive
NSP4~Q9P0T4,NSP4,Q9P0T4,Positive
NSP16~Q9Y6G5,NSP16,Q9Y6G5,Positive
NSP2~O14733,NSP2,O14733,Positive
NSP6~Q96QT4,NSP6,Q96QT4,Positive
M~P55084,M,P55084,Positive
ORF3A~Q92597,ORF3A,Q92597,Positive
M~Q9BX67,M,Q9BX67,Positive
NSP6~Q9NZM1,NSP6,Q9NZM1,Positive
M~P50395,M,P50395,Positive
ORF8~Q8WUH6,ORF8,Q8WUH6,Positive
M~Q8TAD4,M,Q8TAD4,Positive
M~Q01581,M,Q01581,Positive
ORF8~Q86TI0,ORF8,Q86TI0,Positive
ORF7A~Q53GQ0,ORF7A,Q53GQ0,Positive
ORF7A~Q9GZU7,ORF7A,Q9GZU7,Positive
ORF6~Q9NZM1,ORF6,Q9NZM1,Positive
